,id,targetphoto
76,PLR,monkeys/baboon_targetphotos/PLR.IMG_2908.JPG
77,PLR,monkeys/baboon_targetphotos/PLR.IMG_7019.JPG
78,PLR,monkeys/baboon_targetphotos/PLR.PLR_20210607_PLP1_IMG_5798.JPG
79,PLR,monkeys/baboon_targetphotos/PLR.PLR_20210607_PLP1_IMG_6274.JPG
80,PLR,monkeys/baboon_targetphotos/PLR.PLR_20210804_PLP1_IMG_1927.JPG
81,PLR,monkeys/baboon_targetphotos/PLR.PLR_20210804_PLP1_IMG_2076.JPG
82,PLR,monkeys/baboon_targetphotos/PLR_20210607_PLP1_IMG_5823.JPG
83,PLR,monkeys/baboon_targetphotos/PLR_20210607_PLP1_IMG_6294.JPG
84,PLR,monkeys/baboon_targetphotos/PLR_20210804_PLP1_IMG_2080.JPG
85,PLR,monkeys/baboon_targetphotos/PLR_20210804_PLP1_IMG_2173.JPG
86,QNN,monkeys/baboon_targetphotos/QNN.IMG_1060.JPG
87,QNN,monkeys/baboon_targetphotos/QNN.IMG_1071.JPG
88,QNN,monkeys/baboon_targetphotos/QNN.IMG_8254.JPG
89,QNN,monkeys/baboon_targetphotos/QNN.IMG_8287.JPG
90,QNN,monkeys/baboon_targetphotos/QNN.IMG_8292.JPG
91,QNN,monkeys/baboon_targetphotos/QNN.IMG_8295.JPG
92,QNN,monkeys/baboon_targetphotos/QNN.IMG_8302.JPG
93,QNN,monkeys/baboon_targetphotos/QNN.IMG_8311.JPG
94,QNN,monkeys/baboon_targetphotos/QNN.IMG_8314.JPG
95,QNN,monkeys/baboon_targetphotos/QNN.IMG_8317.JPG
96,SCK,monkeys/baboon_targetphotos/SCK.IMG_0008.JPG
97,SCK,monkeys/baboon_targetphotos/SCK.IMG_1048.JPG
98,SCK,monkeys/baboon_targetphotos/SCK.IMG_1058.JPG
99,SCK,monkeys/baboon_targetphotos/SCK.IMG_2628.JPG
100,SCK,monkeys/baboon_targetphotos/SCK.IMG_8306.JPG
101,SCK,monkeys/baboon_targetphotos/SCK.IMG_8707.JPG
102,SCK,monkeys/baboon_targetphotos/SCK.SCK_20210609_PLP1_IMG_6623.JPG
103,SCK,monkeys/baboon_targetphotos/SCK.SCK_20210715_PLP1_IMG_0673.JPG
104,SCK,monkeys/baboon_targetphotos/SCK_20210609_PLP1_IMG_6609.JPG
105,SCK,monkeys/baboon_targetphotos/SCK_20210816_PLP1_IMG_5966.JPG
106,TNK,monkeys/baboon_targetphotos/TNK.IMG_2262.JPG
107,TNK,monkeys/baboon_targetphotos/TNK.IMG_6435.JPG
108,TNK,monkeys/baboon_targetphotos/TNK.IMG_7343.JPG
109,TNK,monkeys/baboon_targetphotos/TNK.IMG_8570.JPG
110,TNK,monkeys/baboon_targetphotos/TNK.TNK_20210411_PLP1_IMG_0885.JPG
111,TNK,monkeys/baboon_targetphotos/TNK.TNK_20210506_PLP1_IMG_3344.JPG
112,TNK,monkeys/baboon_targetphotos/TNK.TNK_20210714_PLP1_IMG_0100.JPG
113,TNK,monkeys/baboon_targetphotos/TNK.TNK_20210814_PLP1_IMG_4769.JPG
114,TNK,monkeys/baboon_targetphotos/TNK_20210609_PLP1_IMG_7283.JPG
115,TNK,monkeys/baboon_targetphotos/TNK_20210714_PLP1_IMG_0042.JPG
116,VDT,monkeys/baboon_targetphotos/VDT.IMG_8068.JPG
117,VDT,monkeys/baboon_targetphotos/VDT.IMG_8073.JPG
118,VDT,monkeys/baboon_targetphotos/VDT.IMG_8078.JPG
119,VDT,monkeys/baboon_targetphotos/VDT.IMG_8094.JPG
120,VDT,monkeys/baboon_targetphotos/VDT.IMG_8100.JPG
121,XLA,monkeys/baboon_targetphotos/XLA.IMG_2750.JPG
122,XLA,monkeys/baboon_targetphotos/XLA.IMG_2770.JPG
123,XLA,monkeys/baboon_targetphotos/XLA.XLA_20210410_PLP1_IMG_0348.JPG
124,XLA,monkeys/baboon_targetphotos/XLA.XLA_20210410_PLP1_IMG_0367.JPG
125,XLA,monkeys/baboon_targetphotos/XLA.XLA_20210410_PLP1_IMG_0379.JPG
126,XLA,monkeys/baboon_targetphotos/XLA.XLA_20210506_PLP1_IMG_3082.JPG
127,XLA,monkeys/baboon_targetphotos/XLA.XLA_20210607_PLP1_IMG_5030.JPG
128,XLA,monkeys/baboon_targetphotos/XLA.XLA_20210607_PLP1_IMG_5051.JPG
129,XLA,monkeys/baboon_targetphotos/XLA.XLA_20210705_PLP1_IMG_8993.JPG
130,XLA,monkeys/baboon_targetphotos/XLA.XLA_20210705_PLP1_IMG_9015.JPG
131,YSH,monkeys/baboon_targetphotos/YSH.IMG_3542.JPG
132,YSH,monkeys/baboon_targetphotos/YSH.IMG_3545.JPG
133,YSH,monkeys/baboon_targetphotos/YSH.IMG_3549.JPG
